,小区,简介,房屋结构,朝向,面积(平方米),月租,平米月租
1,钱龙名汇公馆 ,钱龙名汇公馆 1室0厅 8600元,1室0厅 ,南,230,8600,37.4 
2,长河商厦 ,长河商厦 2室1厅 4000元,2室1厅 ,南,100,4000,40.0 
3,潮人汇 ,潮人汇 2室1厅 6000元,2室1厅 ,东南,144,6000,41.7 
4,金盛曼城 ,金盛曼城 3室1厅 5500元,3室1厅 ,南,125,5500,44.0 
5,时代长岛之春 ,大三房，精装修，可直接拎包入住,3室2厅 ,南 北,128,5900,46.1 
6,同人春江时代花园 ,同人春江时代花园 3室2厅 8500元,3室2厅 ,南,177,8500,48.0 
7,金盛曼城 ,金盛曼城 3室2厅 6500元,3室2厅 ,东,133.13,6500,48.8 
8,铂悦轩 ,铂悦轩 1室1厅 7500元,1室1厅 ,南,152,7500,49.3 
9,观邸国际 ,观邸国际 2室1厅 6500元,2室1厅 ,南,130,6500,50.0 
10,钱江湾花园 ,钱江湾花园 3室2厅 8000元,3室2厅 ,南 北,157,8000,51.0 
11,官河公寓 ,官河公寓 3室2厅 5500元,3室2厅 ,南 北,107,5500,51.4 
12,龙禧硅谷酒店广场 ,龙禧硅谷酒店广场 1室1厅 4000元,1室1厅 ,南,77,4000,51.9 
13,长河商厦 ,长河商厦 3室1厅 5600元,3室1厅 ,南,105,5600,53.3 
14,现代印象广场 ,宝龙城　现代印象广场　精装一室一厅　拎包入住,1室1厅 ,西,74.88,4000,53.4 
15,南都江滨花园 ,南都江滨花园 3室2厅 6500元,3室2厅 ,南 北,119.63,6500,54.3 
16,白马湖小区凤凰苑 ,白马湖小区凤凰苑 3室2厅 6000元,3室2厅 ,南,110,6000,54.5 
17,碧水豪园 ,碧水豪园 5室1厅 9500元,5室1厅 ,南,172,9500,55.2 
18,云厦连园 ,房子是跃层上下打通，共220方 可做淘宝两套一起一万三,5室3厅 ,南 北,134.54,7500,55.7 
19,临江花园 ,临江花园 2室2厅 6000元,2室2厅 ,南 北,107,6000,56.1 
20,南岸晶都花园 ,南岸晶都花园 3室1厅 8000元,3室1厅 ,南,142,8000,56.3 
21,白马湖小区孔雀苑 ,白马湖小区孔雀苑 3室2厅 7400元,3室2厅 ,南 北,130,7400,56.9 
22,白马湖小区孔雀苑 ,白马湖小区孔雀苑 3室2厅 7400元,3室2厅 ,南 北,130,7400,56.9 
23,滨康二苑 ,滨康二苑 4室1厅 7200元,4室1厅 ,南,125,7200,57.6 
24,铂金时代公寓 ,铂金时代公寓 3室1厅 7000元,3室1厅 ,南,120.89,7000,57.9 
25,铂金时代公寓 ,铂金时代公寓 3室1厅 7000元,3室1厅 ,南,120.89,7000,57.9 
26,钱江湾花园 ,户型好，价格低。小区环境好万科物业 杭二中,3室1厅 ,南,107,6200,57.9 
27,钱塘福苑 ,钱塘福苑 3室2厅 5400元,3室2厅 ,南,93,5400,58.1 
28,中南公寓 ,中南公寓 2室1厅 5200元,2室1厅 ,南 北,89,5200,58.4 
29,中南公寓 ,中南公寓 2室1厅 5200元,2室1厅 ,南 北,89,5200,58.4 
30,温馨人家 ,温馨人家 4室2厅 9300元,4室2厅 ,南 北,158,9300,58.9 
31,云厦连园 ,云厦连园 3室1厅 5200元,3室1厅 ,南,88,5200,59.1 
32,中南白马湖壹号 ,中南白马湖壹号 3室2厅 6000元,3室2厅 ,南,100,6000,60.0 
33,瑞立中央花城 ,瑞立中央花城 5室2厅 14500元,5室2厅 ,南,238,14500,60.9 
34,玲珑府 ,玲珑府 3室1厅 5500元,3室1厅 ,南,90,5500,61.1 
35,时代长岛之春 ,时代长岛之春 5室2厅 8500元,5室2厅 ,南,139,8500,61.2 
36,中海钱塘山水 ,中海钱塘山水 5室3厅 17000元,5室3厅 ,南,278,17000,61.2 
37,欣盛东方郡西区 ,欣盛东方郡西区 3室2厅 8500元,3室2厅 ,南 北,139,8500,61.2 
38,欣盛东方郡西区 ,欣盛东方郡西区 3室2厅 7200元,3室2厅 ,南,117,7200,61.5 
39,中南白马湖壹号 ,中南白马湖壹号 3室2厅 5500元,3室2厅 ,南,89,5500,61.8 
40,温兴风情苑 ,温兴风情苑 3室2厅 6500元,3室2厅 ,南,105,6500,61.9 
41,温兴风情苑 ,温兴风情苑 3室2厅 6500元,3室2厅 ,南,105,6500,61.9 
42,江南铭庭 ,江南铭庭 2室2厅 5500元,2室2厅 ,南 北,88.67,5500,62.0 
43,长江小区 ,长江小区 2室1厅 5300元,2室1厅 ,南,85,5300,62.4 
44,长江小区 ,长江小区 2室1厅 5300元,2室1厅 ,南,85,5300,62.4 
45,彩虹城 ,彩虹城 3室2厅 7800元,3室2厅 ,南,125,7800,62.4 
46,天鸿君邑 ,天鸿君邑一室一厅，开发商精装，地铁4号线，配套齐全,1室1厅 ,南,56,3500,62.5 
47,滨兴小区东区 ,网易阿里最近的三房自住精装，房东也比较好说话,3室2厅 ,南,120,7500,62.5 
48,温馨人家 ,温馨人家，滨和路地铁口400米，3房朝南,3室1厅 ,南,137.27,8600,62.7 
49,银色港湾公寓 ,银色港湾公寓 3室2厅 8500元,3室2厅 ,东南 北,135,8500,63.0 
50,江南星座 ,江南星座 1室1厅 5500元,1室1厅 ,东北,87.07,5500,63.2 
51,江南星座 ,江南星座 1室1厅 5500元,1室1厅 ,东北,87.07,5500,63.2 
52,滨兴小区西区 ,滨兴小区西区 1室1厅 3800元,1室1厅 ,南,60,3800,63.3 
