"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"aapl",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"abs",0.000254635367080055,0,0,0,0,0.00100163307427229,0,0,0,0,0,0,0,0
"action",0.00103601494477758,0,0,0,0,0,0,0,0,0,0,0,0,0
"adam",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"adp",0.00016393241923425,0.000276819562269506,0,0,0,0,0,0,0,0,0,0.0028991898011832,0,0.00717722171214211
"adrian",0.0003278648384685,0.000553639124539012,0,0,0.000325943178008585,0,0,0,0,0,0,0.000579837960236639,0,0
"agreement",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"amzn",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"asset",0.000763906101240164,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"a股",0.0003278648384685,0,0,0,0,0.00587524692205049,0,0.00028381829806181,0,0.00171313262754275,0,0,0,0
"baker",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"bart",0.000254635367080055,0.000429982374338735,0,0,0,0,0,0,0,0,0,0,0,0
"baruch",0.00103601494477758,0,0,0,0,0,0,0,0,0,0,0,0,0
"bhge",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"bill",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"birol",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"bitstamp",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"bno",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"bob",0.000201577543885392,0.000340387872773234,0,0,0,0,0,0,0,0,0,0.000712990831355935,0,0
"brent",0.00101854146832022,0,0,0,0,0.00100163307427229,0,0,0,0,0,0,0,0
"brien",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"btc",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"button",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"cboe",0.00207202988955516,0,0,0,0,0,0,0,0,0,0,0,0,0
"cbot",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"cew",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"cftc",0.00101854146832022,0,0,0,0,0,0,0,0,0,0,0.00225164815692782,0,0
"charlie",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"clues",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"cme",0.00018140589569161,0.000306325624138459,0.000365898280278083,0.000328461159467893,0.00036068530207394,0,0.000138102472034249,0,0.000261985852763951,0,0,0,0,0
"cny",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"cobt",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"com",0.000110874596039587,0,0.000447271284791968,0,0.00110224744935658,0,0.000168815415182495,0,0,0,0,0.000392169528821446,0,0.00110324225752387
"comex",0.00100788771942696,0,0,0,0,0,0,0,0,0,0,0.0021389724940678,0,0.000401153866667229
"commercial",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"commission",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"commitments",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"commodity",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"cot",0.000763906101240164,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"dailyfx",0.000604732631656176,0,0,0,0.00160316856363315,0,0.00184150732330047,0,0,0,0,0,0,0
"darin",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"dax",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"day",0.000604732631656176,0.0010211636183197,0,0,0,0,0,0,0,0,0,0.0010694862470339,0,0
"dealer",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"did",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"dxy",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"eem",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"eia",7.32294713884448e-05,0.000123656750200276,0,0.000132592366900575,0.000582402107886459,0,0.000891981684361391,0,0.00074030448708452,0,0,0.000129508328851075,0,0.00160305128928405
"etf",0.000332623788118761,0,0,0,0,0.00101765077693024,0.000168815415182495,0.000383917217756422,0,0,0,0.00117650858646434,0.0272432419483898,0
"eur",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"faang",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"fang",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
