"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"alasdair",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"api",0.00027500358982508,0.00226117150764715,0,0,0,0,0,0,0,0,0.00046445389015019,0,0,0.000231012101474757,0,7.7096016958221e-05
"a股",0.000163880694854146,0,0,0.000482229830737329,0.00209314495028781,0,0,0,0.000106157112526539,0,0,0,0.000120264582080577,0.000137665198237885,0.00125556443328387,0.00133235321143067
"barnier",0.00262209111766634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"beta",0.00147492625368732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137829642561794
"cecilia",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cftc",0.00136816052861304,0,0,0,0,0.00033501266234337,0,0.000276267101677646,0,0.000590808327910698,0,0.00031715066558766,0.000573731847476799,0.000164185721082378,0,0
"chinese",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clif",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com",0.00082501076947524,0,0,8.09216330767535e-05,0,0,0,0.000194356254935446,0,0,0.000232226945075095,0,0,0.00115506050737379,0,0
"comex",0.000340083168861721,6.99069394102819e-05,7.34579644741316e-05,2.00143463026881e-05,1.97439464953543e-05,0.000174875350819738,0,4.80701296361876e-05,0,0.000205599818004711,0.000172310060591826,5.51838185452525e-05,4.9914311398538e-05,0,4.73733020521452e-05,0
"cpi",6.80166337723441e-05,0,0.00213028096974982,0.000260186501934946,0.000434366822897796,0.000349750701639475,0.000145703878981514,4.80701296361876e-05,0,0.000137066545336474,0.000172310060591826,0.000110367637090505,0,0,9.47466041042903e-05,5.72044701753437e-05
"cyb",0.00262209111766634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"droke",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"economies",0.00147492625368732,0,0,0,0,0,0,0,0,0,0,0,0,0.00206497797356828,0,0
"eia",0.000408099802634065,0.000559255515282255,0,4.00286926053763e-05,3.94878929907087e-05,0.000116583567213158,0,0,0,0,0.000918986989823069,0,0.000199657245594152,0.000457089756915026,0,0.000114408940350687
"etf",0.000544133070178753,0,0.000146915928948263,0,3.94878929907087e-05,0,0,0.00019228051854475,0,0.000274133090672948,0.000114873373727884,0,0.000399314491188304,0.00034281731768627,0,0.000190681567251146
"etfs",0.00131104555883317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"florence",0.00131104555883317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"forexlive",0.00055000717965016,0,0,0,0,0,0.00029455360805909,0.000388712509870891,0,0,0,0,0,0,0.000191538854595667,0.000154192033916442
"fund",0.000491642084562439,0,0,0,0,0,0,0,0,0,0.000415167450871852,0,0,0,0,0
